#{"t_start": 1761863674.2271237, "env_id": "None"}
r,l,t,winner,reason
1.0,20,40.846102,2,capture
1.0,15,40.869958,2,capture
1.0,22,40.905223,2,capture
1.0,14,40.92753,2,capture
1.0,16,40.953089,2,capture
1.0,8,40.965761,2,capture
1.0,19,40.995904,2,capture
1.0,24,41.034096,2,capture
1.0,22,41.069178,2,capture
1.0,9,41.083533,2,capture
1.0,18,41.112078,2,capture
1.0,21,41.145358,2,capture
1.0,16,41.170726,2,capture
1.0,23,41.207392,2,capture
1.0,18,41.236029,2,capture
1.0,21,41.269455,2,capture
1.0,9,41.283791,2,capture
1.0,22,41.318799,2,capture
1.0,18,41.347462,2,capture
1.0,11,41.365346,2,capture
1.0,15,41.389226,2,capture
1.0,18,41.417985,2,capture
1.0,20,41.449647,2,capture
1.0,21,41.483007,2,capture
1.0,25,41.52305,2,capture
1.0,17,41.550237,2,capture
1.0,18,41.578852,2,capture
1.0,13,41.599534,2,capture
1.0,26,41.641303,2,capture
1.0,17,41.668327,2,capture
1.0,34,41.722881,2,capture
1.0,22,41.758261,2,capture
1.0,15,41.782161,2,capture
1.0,11,41.799628,2,capture
1.0,18,41.828322,2,capture
1.0,24,41.866467,2,capture
1.0,14,41.888592,2,capture
1.0,14,41.910929,2,capture
1.0,14,41.933176,2,capture
1.0,23,41.96966,2,capture
1.0,25,42.009516,2,capture
1.0,19,42.039529,2,capture
1.0,13,42.060202,2,capture
1.0,16,42.085564,2,capture
1.0,14,42.107872,2,capture
1.0,12,42.126914,2,capture
1.0,14,42.14934,2,capture
1.0,10,42.165277,2,capture
1.0,19,42.195494,2,capture
1.0,17,42.22248,2,capture
1.0,24,42.260688,2,capture
1.0,18,42.289228,2,capture
1.0,17,42.316227,2,capture
1.0,28,42.361094,2,capture
1.0,22,42.39598,2,capture
1.0,34,42.450736,2,capture
1.0,15,42.474493,2,capture
1.0,28,42.519244,2,capture
1.0,17,42.546217,2,capture
1.0,16,42.571665,2,capture
1.0,21,42.605157,2,capture
1.0,11,42.622648,2,capture
1.0,22,42.658124,2,capture
1.0,20,42.690381,2,capture
1.0,17,42.717594,2,capture
1.0,17,42.744629,2,capture
1.0,30,42.793017,2,capture
1.0,15,42.817027,2,capture
1.0,18,42.845574,2,capture
1.0,14,42.867847,2,capture
1.0,17,42.894792,2,capture
1.0,21,42.928219,2,capture
1.0,15,42.952032,2,capture
1.0,21,42.985439,2,capture
1.0,18,43.014688,2,capture
1.0,18,43.043363,2,capture
1.0,23,43.080045,2,capture
1.0,11,43.097451,2,capture
1.0,21,43.130838,2,capture
1.0,20,43.162476,2,capture
1.0,23,43.199074,2,capture
1.0,21,43.232443,2,capture
1.0,16,43.257982,2,capture
1.0,12,43.277057,2,capture
1.0,18,43.30565,2,capture
1.0,14,43.327821,2,capture
1.0,16,43.35329,2,capture
1.0,22,43.388273,2,capture
1.0,14,43.41057,2,capture
1.0,16,43.436109,2,capture
1.0,16,43.461515,2,capture
1.0,22,43.496616,2,capture
1.0,23,43.533217,2,capture
1.0,19,43.563369,2,capture
1.0,20,43.595038,2,capture
1.0,14,43.617174,2,capture
1.0,15,43.640997,2,capture
1.0,19,43.67124,2,capture
1.0,22,43.706649,2,capture
1.0,20,43.73919,2,capture
1.0,10,43.755152,2,capture
1.0,16,43.780701,2,capture
1.0,29,43.827232,2,capture
1.0,24,45.012913,2,capture
1.0,14,45.035233,2,capture
1.0,17,45.06233,2,capture
1.0,15,45.086257,2,capture
1.0,12,45.10533,2,capture
1.0,13,45.125987,2,capture
1.0,8,45.138764,2,capture
1.0,24,45.17709,2,capture
1.0,23,45.213913,2,capture
1.0,17,45.24086,2,capture
1.0,15,45.264701,2,capture
1.0,12,45.283731,2,capture
1.0,10,45.299696,2,capture
1.0,18,45.328193,2,capture
1.0,13,45.348997,2,capture
1.0,15,45.373008,2,capture
1.0,14,45.395468,2,capture
